Brand,Name,Price,Year,Car case,Volume,Transmission,Mileage,Gear,Color
Toyota,Highlander,16985000,2013,кроссовер,3.5,автомат,195956.0,полный привод,черный
Voyah,Free,20600000,2021,кроссовер,0.0,автомат,133558.6735723293,полный привод,бирюзовый
Toyota,RAV 4,12170000,2014,кроссовер,2.0,вариатор,219881.0,передний привод,серебристый
Nissan,Qashqai,16050000,2021,кроссовер,2.0,вариатор,66649.0,полный привод,голубой
Nissan,Patrol,7500000,2002,внедорожник,3.0,автомат,133558.6735723293,полный привод,золотистый металлик
Zeekr,001,26000000,2023,лифтбек,0.0,автомат,0.0,полный привод,черный металлик
Nissan,Qashqai,6490000,2013,кроссовер,1.6,вариатор,214439.0,передний привод,белый
Chevrolet,Cobalt,6600000,2021,седан,1.5,автомат,91793.0,передний привод,белый
Mercedes-Benz,E 230,1600000,1991,седан,2.3,механика,133558.6735723293,задний привод,черный
Nissan,X-Trail,15380000,2021,кроссовер,2.5,вариатор,18644.0,полный привод,белый
Hyundai,Elantra,9840000,2019,седан,1.6,автомат,147935.0,передний привод,черный
Toyota,RAV 4,12080000,2013,кроссовер,2.5,автомат,108567.0,полный привод,черный
Toyota,RAV 4,14810000,2018,кроссовер,2.0,вариатор,50768.0,полный привод,коричневый
Hyundai,Sonata,13370000,2021,седан,2.5,автомат,20092.0,передний привод,черный
Toyota,Camry,16900000,2018,седан,2.5,автомат,52000.0,передний привод,белый металлик
Hyundai,Creta,9940000,2020,кроссовер,1.6,автомат,110804.0,передний привод,серый
Hyundai,Accent,9110000,2021,седан,1.6,автомат,99985.0,передний привод,серый
Hyundai,Creta,9420000,2018,кроссовер,1.6,автомат,183664.0,передний привод,серый
Subaru,Outback,6700000,2005,седан,3.0,автомат,230000.0,полный привод,серебристый металлик
Toyota,Camry,11100000,2011,седан,2.5,автомат,229000.0,передний привод,серебристый металлик
Kia,K5,13800000,2021,седан,2.0,автомат,133558.6735723293,передний привод,белый
Toyota,Camry,14450000,2019,седан,2.5,автомат,133558.6735723293,передний привод,белый металлик
Mitsubishi,Pajero,2000000,1993,внедорожник,2.5,автомат,133558.6735723293,полный привод,белый
Hyundai,Tucson,10000000,2018,кроссовер,2.0,автомат,60000.0,полный привод,белый металлик
BMW,X4,25000000,2019,кроссовер,2.0,автомат,46000.0,полный привод,белый металлик
Mercedes-Benz,Vito,6000000,2011,минивэн,2.2,механика,133558.6735723293,задний привод,белый металлик
Chevrolet,Tracker,10000000,2021,кроссовер,1.0,автомат,35000.0,передний привод,черный
BMW,X5,7000000,2005,кроссовер,4.4,автомат,133558.6735723293,полный привод,черный металлик
ВАЗ (Lada),2112 (хэтчбек),900000,2003,хэтчбек,1.5,механика,139905.0,передний привод,белый
Land Rover,Range Rover,31000000,2013,внедорожник,3.0,автомат,125000.0,полный привод,белый
Toyota,Camry,9000000,2012,седан,2.5,автомат,86065.0,передний привод,красный металлик
Zeekr,001,24600000,2023,лифтбек,0.0,автомат,0.0,полный привод,оранжевый
Genesis,G70,18800000,2021,седан,2.0,автомат,133558.6735723293,полный привод,серый металлик
Volkswagen,Tiguan,14000000,2020,кроссовер,2.0,автомат,82000.0,передний привод,белый
Toyota,Camry,6500000,2010,седан,2.4,автомат,133558.6735723293,передний привод,белый металлик
Mitsubishi,ASX,7000000,2012,кроссовер,2.0,вариатор,289000.0,полный привод,белый
Mitsubishi,Pajero,6100000,2004,внедорожник,3.0,автомат,133558.6735723293,полный привод,золотистый
Skoda,Superb,14000000,2019,лифтбек,2.0,робот,120000.0,полный привод,коричневый металлик
Hyundai,Santa Fe,18800000,2021,кроссовер,2.5,автомат,21500.0,передний привод,белый
Toyota,Land Cruiser Prado,37000000,2022,внедорожник,4.0,автомат,100.0,полный привод,белый
Toyota,Camry,15500000,2019,седан,2.5,автомат,82000.0,передний привод,черный
Chevrolet,Captiva,12540000,2023,внедорожник,1.5,вариатор,0.0,передний привод,черный металлик
ГАЗ,ГАЗель,4500000,2007,фургон,2.7,механика,133558.6735723293,задний привод,белый
BMW,X5,20000000,2014,кроссовер,3.0,автомат,147000.0,полный привод,белый металлик
BMW,iX3,24900000,2023,кроссовер,0.0,автомат,0.0,задний привод,белый
Toyota,Corolla,3500000,2004,седан,1.6,автомат,434000.0,передний привод,серебристый
Infiniti,FX35,10500000,2009,кроссовер,3.5,автомат,96000.0,полный привод,белый металлик
Nissan,Qashqai,13250000,2021,кроссовер,2.0,вариатор,47485.0,полный привод,белый
Toyota,Camry,13340000,2017,седан,2.5,автомат,177959.0,передний привод,белый
Mercedes-Benz,E 200,3500000,1994,седан,2.0,автомат,163085.0,задний привод,серебристый металлик
BYD,Han,16700000,2023,седан,0.0,автомат,0.0,передний привод,черный
Changan,UNI-K,14500000,2023,кроссовер,1.5,робот,0.0,передний привод,белый
Toyota,Camry,8500000,2014,седан,2.5,автомат,133558.6735723293,передний привод,черный металлик
Lexus,RX 330,8200000,2004,кроссовер,3.3,автомат,133558.6735723293,передний привод,черный
Nissan,X-Trail,14980000,2020,кроссовер,2.5,вариатор,62066.0,полный привод,белый
Kia,K5,14880000,2022,седан,2.0,автомат,51952.0,передний привод,черный
Mercedes-Benz,E 240,4500000,2004,седан,2.6,автомат,133558.6735723293,задний привод,серебристый
Subaru,Outback,3700000,2001,универсал,2.5,автомат,133558.6735723293,полный привод,синий
Hyundai,Creta,9220000,2018,кроссовер,1.6,автомат,88137.0,передний привод,белый
Toyota,Camry,15700000,2018,седан,2.5,автомат,98567.0,передний привод,белый
Mitsubishi,Pajero,12400000,2013,внедорожник,3.0,автомат,94149.0,полный привод,серый
Mazda,CX-5,17100000,2022,кроссовер,2.5,автомат,9600.0,полный привод,черный металлик
Toyota,Camry,4500000,1997,седан,3.0,автомат,203000.0,передний привод,синий металлик
Toyota,Camry,15490000,2019,седан,2.5,автомат,32179.0,передний привод,белый
Subaru,Outback,3650000,2002,универсал,2.5,автомат,133558.6735723293,полный привод,синий
Toyota,Camry,12620000,2015,седан,2.5,автомат,123425.0,передний привод,белый
Toyota,RAV 4,13960000,2017,кроссовер,2.0,вариатор,118931.0,полный привод,белый
Mercedes-Benz,E 350,10000000,2011,седан,3.5,автомат,180250.0,полный привод,черный металлик
Hyundai,Accent,6400000,2015,седан,1.6,автомат,110000.0,передний привод,белый
Kia,Sorento,16000000,2019,кроссовер,3.5,автомат,85430.0,полный привод,серый металлик
Nissan,Cefiro,2000000,1996,седан,2.5,автомат,133558.6735723293,передний привод,синий
Mitsubishi,Space Runner,750000,1992,минивэн,1.8,механика,460000.0,передний привод,бирюзовый
Toyota,Corolla,12780000,2022,седан,1.5,вариатор,80.0,передний привод,белый
Mazda,626,850000,1989,универсал,2.2,механика,133558.6735723293,передний привод,серебристый металлик
Changan,UNI-K,13000000,2021,кроссовер,2.0,автомат,8000.0,передний привод,голубой металлик
BMW,X5,42500000,2022,кроссовер,3.0,автомат,38000.0,полный привод,белый
Kia,K3,12500000,2022,седан,1.6,вариатор,3750.0,передний привод,белый
Hyundai,Sonata,14200000,2023,седан,2.0,автомат,0.0,передний привод,белый металлик
Kia,Sorento,24000000,2023,кроссовер,2.5,автомат,0.0,передний привод,черный металлик
Volkswagen,Jetta,5750000,2014,седан,1.6,механика,127200.0,передний привод,серебристый металлик
Audi,Q7,22500000,2017,кроссовер,3.0,автомат,133558.6735723293,полный привод,черный металлик
Kia,Sportage,18300000,2022,кроссовер,1.6,автомат,26000.0,передний привод,белый металлик
Nissan,Primera,870000,1994,седан,2.0,механика,360000.0,передний привод,белый
Volkswagen,Touareg,13300000,2011,кроссовер,3.6,автомат,134000.0,полный привод,белый
Toyota,RAV 4,11500000,2014,кроссовер,2.5,автомат,140000.0,полный привод,синий металлик
Hyundai,Avante,11500000,2018,седан,1.6,автомат,105000.0,передний привод,белый
Hyundai,Tucson,15750000,2021,кроссовер,2.5,автомат,41000.0,полный привод,зеленый
Hyundai,Santa Fe,8500000,2013,кроссовер,3.3,автомат,189319.0,передний привод,серебристый металлик
Kia,Sorento,21000000,2022,кроссовер,2.5,автомат,35000.0,полный привод,синий
Hyundai,Palisade,22990000,2021,кроссовер,3.5,автомат,33000.0,полный привод,черный металлик
Kia,Seltos,12900000,2021,кроссовер,1.6,автомат,20000.0,полный привод,белый
Toyota,RAV 4,10790000,2014,кроссовер,2.0,вариатор,90955.0,полный привод,белый
Toyota,Camry,14660000,2018,седан,2.5,автомат,69397.0,передний привод,коричневый
Toyota,RAV 4,13560000,2016,кроссовер,2.0,вариатор,88331.0,полный привод,белый
Toyota,RAV 4,13610000,2016,кроссовер,2.0,вариатор,90663.0,полный привод,синий
MG,One,10000000,2022,кроссовер,1.5,вариатор,500.0,передний привод,оранжевый
BYD,Seal,13373090,2023,седан,0.0,автомат,0.0,задний привод,черный
Li,L9,33600000,2023,кроссовер,1.5,автомат,0.0,полный привод,белый
Zeekr,001,24200000,2023,лифтбек,0.0,автомат,0.0,полный привод,черный
Toyota,Camry,15380000,2018,седан,2.5,автомат,56134.0,передний привод,черный
Toyota,Camry,13610000,2018,седан,2.5,автомат,182107.0,передний привод,белый
Toyota,Corolla,10260000,2018,седан,1.6,вариатор,99189.0,передний привод,серый
Toyota,Camry,15010000,2020,седан,2.5,автомат,41643.0,передний привод,белый
Toyota,Camry,15280000,2018,седан,2.5,автомат,76088.0,передний привод,белый
Nissan,Qashqai,14130000,2021,кроссовер,2.0,вариатор,6778.0,полный привод,черный
Nissan,X-Trail,11650000,2018,кроссовер,2.5,вариатор,63000.0,полный привод,серебристый металлик
Hyundai,Tucson,12940000,2020,кроссовер,2.0,автомат,43516.0,полный привод,зеленый
Chevrolet,Cobalt,7090000,2022,седан,1.5,автомат,20395.0,передний привод,белый
Toyota,RAV 4,9840000,2012,кроссовер,2.0,вариатор,178459.0,полный привод,серый
BMW,525,2450000,1993,седан,2.5,механика,133558.6735723293,задний привод,серый
Hyundai,Elantra,12500000,2021,седан,2.0,автомат,50000.0,передний привод,белый
Mitsubishi,Pajero,5900000,2003,внедорожник,3.0,автомат,183500.0,полный привод,серебристый металлик
Nissan,X-Trail,13860000,2021,кроссовер,2.5,вариатор,67785.0,полный привод,черный
Toyota,Camry,16320000,2019,седан,2.5,автомат,75585.0,передний привод,белый
Nissan,Juke,7270000,2014,кроссовер,1.6,вариатор,87082.0,передний привод,черный
Toyota,Camry,16220000,2019,седан,2.5,автомат,111570.0,передний привод,белый
Toyota,RAV 4,11180000,2013,кроссовер,2.0,вариатор,268796.0,передний привод,белый
Kia,Rio,6100000,2015,седан,1.6,автомат,186000.0,передний привод,белый
ГАЗ,ГАЗель,3400000,2007,пикап,2.7,механика,240000.0,задний привод,белый
Toyota,Corolla,5000000,2008,седан,1.6,автомат,133558.6735723293,передний привод,черный металлик
IM,LS7,25000000,2023,кроссовер,0.0,автомат,0.0,полный привод,белый металлик
Zeekr,001,26700000,2023,лифтбек,0.0,автомат,0.0,полный привод,черный
Nissan,R'nessa,2750000,1997,универсал,2.0,вариатор,360000.0,передний привод,серебристый металлик
Hyundai,Sonata,15700000,2023,седан,2.5,автомат,0.0,передний привод,белый металлик
Subaru,Impreza XV,7500000,2010,хэтчбек,2.0,автомат,163102.0,полный привод,белый металлик
BMW,X5,45000000,2020,кроссовер,3.0,автомат,36000.0,полный привод,черный металлик
Nissan,Patrol,31000000,2019,внедорожник,4.0,автомат,50000.0,полный привод,белый
Hyundai,Palisade,24000000,2021,кроссовер,3.5,автомат,20620.0,полный привод,черный
Geely,Monjaro,13500000,2023,кроссовер,2.0,автомат,0.0,полный привод,синий
Li,L9,33500000,2023,кроссовер,1.5,автомат,0.0,полный привод,черный металлик
Kia,Carnival,27000000,2023,минивэн,3.5,автомат,0.0,передний привод,черный металлик
Toyota,Highlander,36999999,2022,кроссовер,3.5,автомат,8000.0,полный привод,черный металлик
Kia,Sorento,17500000,2022,кроссовер,2.5,автомат,16000.0,передний привод,серый металлик
BMW,X5,7600000,2004,кроссовер,3.0,автомат,147000.0,полный привод,черный металлик
Kia,Sportage,16900000,2022,кроссовер,2.5,автомат,8800.0,передний привод,синий металлик
BMW,520,1000000,1991,седан,2.0,механика,133558.6735723293,задний привод,черный
Hyundai,Tucson,18800000,2023,кроссовер,2.5,автомат,0.0,полный привод,серебристый металлик
Volkswagen,Passat,3000000,2004,седан,1.8,автомат,386000.0,передний привод,белый
Zeekr,001,26000000,2023,лифтбек,0.0,автомат,0.0,полный привод,белый металлик
Toyota,Avalon,3000000,1998,седан,3.0,автомат,141308.0,передний привод,белый
Chevrolet,Cobalt,7390000,2023,седан,1.5,автомат,0.0,передний привод,белый
Mitsubishi,Delica,7500000,2002,минивэн,3.0,автомат,248000.0,полный привод,белый
Toyota,RAV 4,18500000,2021,кроссовер,2.5,автомат,32000.0,полный привод,белый металлик
Toyota,Land Cruiser Prado,8300000,2007,внедорожник,3.0,автомат,133558.6735723293,полный привод,синий металлик
Toyota,Camry,14840000,2018,седан,2.5,автомат,69511.0,передний привод,белый
Toyota,Camry,9730000,2014,седан,2.5,автомат,158798.0,передний привод,серебристый
Nissan,X-Trail,15530000,2020,кроссовер,2.5,вариатор,42938.0,полный привод,белый
Toyota,Camry,15210000,2020,седан,2.5,автомат,75431.0,передний привод,черный
EXEED,VX,19000000,2023,кроссовер,2.0,автомат,0.0,полный привод,белый
Zeekr,001,24500000,2023,лифтбек,0.0,автомат,0.0,полный привод,голубой
Kia,K5,18490000,2023,седан,2.5,автомат,0.0,передний привод,белый
Chevrolet,Cobalt,7570000,2022,седан,1.5,автомат,46958.0,передний привод,серый
Kia,K5,13670000,2021,седан,2.0,автомат,68547.0,передний привод,синий
Toyota,RAV 4,10830000,2013,кроссовер,2.0,вариатор,143400.0,полный привод,красный
Toyota,Land Cruiser Prado,12210000,2006,внедорожник,4.0,автомат,271358.0,полный привод,жёлтый
Toyota,Camry,13150000,2015,седан,2.5,автомат,114189.0,передний привод,белый
Hyundai,Accent,6100000,2015,седан,1.6,автомат,237000.0,передний привод,черный металлик
Mercedes-Benz,E 220,3100000,1993,седан,2.2,автомат,133558.6735723293,задний привод,синий
Kia,Sportage,9630000,2014,кроссовер,2.0,автомат,129349.0,полный привод,черный
Toyota,Camry,14660000,2018,седан,2.5,автомат,73782.0,передний привод,белый
Toyota,Camry,15010000,2021,седан,2.5,автомат,57860.0,передний привод,черный
Hyundai,Elantra,10060000,2018,седан,2.0,автомат,35637.0,передний привод,белый
Toyota,Corolla,8950000,2018,седан,1.6,вариатор,99077.0,передний привод,белый
Zeekr,X,18850000,2023,кроссовер,0.0,автомат,0.0,полный привод,белый металлик
Zeekr,001,26050000,2023,лифтбек,0.0,автомат,0.0,полный привод,белый металлик
Nissan,Juke,6310000,2012,кроссовер,1.6,вариатор,94200.0,передний привод,белый
Kia,Sportage,14630000,2021,кроссовер,2.0,автомат,48954.0,передний привод,белый
Zeekr,001,26050000,2023,лифтбек,0.0,автомат,0.0,полный привод,оранжевый металлик
Lexus,GS 300,6200000,2005,седан,3.0,автомат,212347.0,задний привод,серебристый металлик
Kia,Sorento,22000000,2022,кроссовер,2.5,автомат,40000.0,передний привод,белый
Toyota,Camry,2500000,1995,универсал,3.0,автомат,133558.6735723293,передний привод,коричневый металлик
Toyota,Corolla,4950000,2007,седан,1.6,автомат,240000.0,передний привод,серебристый
Foton,Tunland,10990000,2022,пикап,2.0,автомат,100.0,полный привод,белый
Mercedes-Benz,ML 400,17300000,2014,внедорожник,3.0,автомат,115000.0,полный привод,серый металлик
Toyota,Highlander,29000000,2022,кроссовер,3.5,автомат,17200.0,полный привод,синий
Toyota,Highlander,30500000,2022,кроссовер,3.5,автомат,11000.0,полный привод,черный
Audi,A8,10000000,2010,седан,4.2,автомат,169981.0,полный привод,черный
Mercedes-Benz,ML 350,6000000,2007,внедорожник,3.5,автомат,250000.0,полный привод,серебристый металлик
BMW,320,1900000,1994,седан,2.0,автомат,370000.0,задний привод,белый
Mitsubishi,Outlander,13500000,2022,кроссовер,2.0,вариатор,500.0,передний привод,белый металлик
Land Rover,Range Rover Evoque,13000000,2014,кроссовер,2.0,автомат,85000.0,передний привод,черный металлик
BMW,740,24500000,2017,седан,2.0,автомат,47500.0,полный привод,белый
Voyah,Free,19000000,2023,кроссовер,0.0,автомат,0.0,полный привод,белый
Mercedes-Benz,S 300,6500000,1990,седан,3.0,автомат,102000.0,задний привод,черный металлик
Hyundai,Tucson,12500000,2019,кроссовер,2.0,автомат,61423.0,полный привод,белый
Zeekr,X,14400000,2023,кроссовер,0.0,автомат,0.0,задний привод,белый
Volkswagen,ID.4,14850000,2023,кроссовер,0.0,автомат,0.0,задний привод,серый металлик
Volkswagen,ID.4,17500000,2023,кроссовер,0.0,автомат,0.0,полный привод,белый
Lexus,RX 300,5200000,1999,кроссовер,3.0,автомат,133558.6735723293,полный привод,черный металлик
Hyundai,Elantra,8700000,2019,седан,2.0,автомат,111825.0,передний привод,серебристый металлик
Hyundai,Sonata,12500000,2021,седан,2.5,автомат,26000.0,передний привод,серебристый металлик
Hyundai,Santa Fe,18569550,2022,кроссовер,2.5,автомат,4992.0,полный привод,синий
Hyundai,Sonata,21400066,2023,седан,2.0,автомат,0.0,передний привод,белый
Hyundai,Palisade,31999999,2023,кроссовер,3.8,автомат,0.0,полный привод,белый
Lexus,IS 350,24000000,2022,седан,3.5,автомат,30000.0,полный привод,серебристый металлик
Kia,Seltos,11300000,2021,кроссовер,2.0,автомат,50000.0,передний привод,серый металлик
ВАЗ (Lada),Largus,5650000,2018,универсал,1.6,механика,58000.0,передний привод,белый
Lexus,RX 300,5100000,2001,кроссовер,3.0,автомат,361610.0,полный привод,золотистый металлик
Toyota,Land Cruiser,12310000,2006,внедорожник,4.7,автомат,282283.0,полный привод,черный
Toyota,Camry,13080000,2015,седан,2.5,автомат,150902.0,передний привод,белый
Toyota,Land Cruiser,46000000,2020,внедорожник,4.6,автомат,100000.0,полный привод,белый металлик
Toyota,Corolla,12630000,2021,седан,1.6,вариатор,15115.0,передний привод,белый
Toyota,Corolla,10370000,2018,седан,1.6,вариатор,58228.0,передний привод,белый
EXEED,LX,12990000,2023,кроссовер,1.5,вариатор,0.0,передний привод,белый
Li,L7,25700000,2023,кроссовер,1.5,автомат,0.0,полный привод,черный
BYD,Seal,15436960,2023,седан,0.0,автомат,0.0,задний привод,голубой
Toyota,Auris,5000000,2008,хэтчбек,1.6,автомат,133558.6735723293,передний привод,голубой
Hyundai,Sonata,14490000,2020,седан,2.5,автомат,60005.0,передний привод,серый
Toyota,Camry,15010000,2022,седан,2.5,автомат,22977.0,передний привод,черный
Toyota,Corolla,12420000,2021,седан,1.6,вариатор,25157.0,передний привод,белый
Toyota,Camry,13670000,2020,седан,2.5,автомат,33556.0,передний привод,синий
Chevrolet,Cobalt,7240000,2022,седан,1.5,автомат,71734.0,передний привод,белый
Toyota,RAV 4,11910000,2014,кроссовер,2.0,вариатор,267373.0,полный привод,белый
Chevrolet,Cobalt,6460000,2020,седан,1.5,автомат,105083.0,передний привод,белый
Toyota,RAV 4,11030000,2013,кроссовер,2.0,вариатор,77665.0,полный привод,серый
Toyota,RAV 4,13340000,2016,кроссовер,2.0,вариатор,156179.0,полный привод,черный
Toyota,Corolla,10770000,2019,седан,1.6,вариатор,73830.0,передний привод,черный
Kia,Sportage,11320000,2017,кроссовер,2.0,автомат,63926.0,полный привод,белый
Hyundai,Palisade,19900000,2021,кроссовер,3.8,автомат,14000.0,передний привод,белый
Volkswagen,ID.4,15000000,2022,кроссовер,0.0,автомат,133558.6735723293,задний привод,белый
Hyundai,Sonata,13999000,2020,седан,2.5,автомат,118000.0,передний привод,серый металлик
Lexus,GS 350,12900000,2013,седан,3.5,автомат,120000.0,полный привод,черный
Toyota,Camry,20000000,2019,седан,3.5,автомат,44000.0,передний привод,белый
Mitsubishi,Pajero IO,2300000,1998,внедорожник,1.8,автомат,133558.6735723293,полный привод,серый металлик
Li,L9,32500000,2023,кроссовер,1.5,автомат,0.0,полный привод,серый
Lexus,LX 470,10000000,2005,внедорожник,4.7,автомат,150000.0,полный привод,черный металлик
BAW,Luba,11770000,2017,внедорожник,2.4,механика,9.0,полный привод,зеленый
Lexus,GX 470,12850000,2005,внедорожник,4.7,автомат,133558.6735723293,полный привод,черный
Lexus,RX 350,28900000,2021,кроссовер,3.5,автомат,15000.0,полный привод,белый металлик
Hyundai,Santa Fe,17700000,2021,кроссовер,2.5,автомат,17000.0,полный привод,белый
Toyota,Corolla,5300000,2010,седан,1.8,автомат,180000.0,передний привод,черный
Subaru,Outback,19500000,2021,универсал,2.4,вариатор,39000.0,полный привод,синий
Jeep,Grand Cherokee,5200000,2002,внедорожник,4.0,автомат,123456.0,полный привод,серый металлик
Tesla,Model Y,24500000,2022,кроссовер,0.0,автомат,16000.0,полный привод,белый
Mitsubishi,Pajero,3800000,1995,внедорожник,2.8,автомат,370000.0,полный привод,зеленый металлик
Toyota,RAV 4,5500000,2002,кроссовер,2.4,автомат,276000.0,передний привод,черный металлик
Toyota,Alphard,8700000,2007,минивэн,3.0,автомат,300000.0,передний привод,белый металлик
Zeekr,001,31000000,2023,лифтбек,0.0,автомат,0.0,полный привод,белый
Hyundai,Porter,9500000,2018,пикап,2.5,механика,70000.0,задний привод,белый металлик
Audi,A4,1600000,1995,седан,1.8,механика,210000.0,передний привод,зеленый
Hyundai,Sonata,2500000,2002,седан,2.0,автомат,133558.6735723293,передний привод,белый металлик
Toyota,RAV 4,12300000,2015,кроссовер,2.0,автомат,110000.0,полный привод,белый
Lexus,ES 350,29000000,2020,седан,3.5,автомат,39000.0,передний привод,черный
Toyota,Camry,18800000,2023,седан,2.5,автомат,0.0,передний привод,белый металлик
Mitsubishi,Xpander Cross,11900000,2022,кроссовер,1.5,автомат,90.0,передний привод,серебристый металлик
BMW,i3,17800000,2022,седан,0.0,автомат,8500.0,задний привод,серый
BMW,320,5200000,2009,седан,2.0,автомат,245000.0,задний привод,белый металлик
Toyota,Land Cruiser Prado,38500000,2022,внедорожник,4.0,автомат,33000.0,полный привод,черный металлик
Mazda,6,8900000,2015,седан,2.5,автомат,133558.6735723293,передний привод,серый металлик
Hyundai,Bayon,11110000,2023,кроссовер,1.4,автомат,0.0,передний привод,зеленый
Zeekr,001,25450000,2023,лифтбек,0.0,автомат,0.0,полный привод,серый
Changan,UNI-K,16557500,2023,кроссовер,2.0,автомат,0.0,полный привод,синий
Nissan,Pathfinder,30990000,2021,внедорожник,3.5,автомат,45.0,полный привод,белый
Toyota,RAV 4,13820000,2018,кроссовер,2.0,вариатор,161935.0,полный привод,белый
ВАЗ (Lada),2114 (хэтчбек),1750000,2010,хэтчбек,1.6,механика,210000.0,передний привод,зеленый металлик
Hyundai,Sonata,7000000,2021,седан,2.0,автомат,140000.0,передний привод,серый металлик
Toyota,RAV 4,12910000,2015,кроссовер,2.0,вариатор,113204.0,полный привод,серебристый
Toyota,Carina E,2700000,1994,седан,1.6,механика,555.0,передний привод,красный
Kia,Sorento,17700000,2022,кроссовер,2.5,автомат,50000.0,полный привод,серый металлик
Hyundai,Creta,11080000,2020,кроссовер,2.0,автомат,36550.0,передний привод,белый
Nissan,Primera,3650000,2005,седан,2.0,вариатор,133558.6735723293,передний привод,серебристый металлик
Mazda,626,650000,1991,универсал,2.0,механика,400000.0,передний привод,белый
Toyota,Camry,2000000,2004,седан,2.4,автомат,133558.6735723293,передний привод,белый
Mitsubishi,RVR,1500000,1998,минивэн,1.8,автомат,133558.6735723293,передний привод,белый металлик
Lexus,GS 250,13000000,2013,седан,2.5,автомат,170000.0,задний привод,серебристый металлик
Nissan,Juke,6420000,2012,кроссовер,1.6,вариатор,205003.0,передний привод,красный
Hyundai,Tucson,12010000,2019,кроссовер,2.0,автомат,162665.0,полный привод,серый
